Title,Link,Difficulty,Topic
"Maximum Nesting Depth of the Parentheses","https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses","EASY","String, Stack"
"Find Consecutive Integers from a Data Stream","https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream","MEDIUM","Hash Table, Design, Queue, Counting, Data Stream"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Copy List with Random Pointer","https://leetcode.com/problems/copy-list-with-random-pointer","MEDIUM","Hash Table, Linked List"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Count Primes","https://leetcode.com/problems/count-primes","MEDIUM","Array, Math, Enumeration, Number Theory"
"Best Time to Buy and Sell Stock II","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Reverse Integer","https://leetcode.com/problems/reverse-integer","MEDIUM","Math"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Climbing Stairs","https://leetcode.com/problems/climbing-stairs","EASY","Math, Dynamic Programming, Memoization"
"Merge Two Sorted Lists","https://leetcode.com/problems/merge-two-sorted-lists","EASY","Linked List, Recursion"
"Reverse Words in a String","https://leetcode.com/problems/reverse-words-in-a-string","MEDIUM","Two Pointers, String"
"Palindrome Number","https://leetcode.com/problems/palindrome-number","EASY","Math"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Rotate Image","https://leetcode.com/problems/rotate-image","MEDIUM","Array, Math, Matrix"
"Linked List Cycle","https://leetcode.com/problems/linked-list-cycle","EASY","Hash Table, Linked List, Two Pointers"
"Valid Palindrome","https://leetcode.com/problems/valid-palindrome","EASY","Two Pointers, String"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Top K Frequent Words","https://leetcode.com/problems/top-k-frequent-words","MEDIUM","Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
